key,en,fr
general:facebook,Facebook,
general:goal,Goal,
general:goals,Goals,
general:home,Home,
general:indicator,Indicator,
general:indicators,Indicators,
general:loading,Loading search results,
general:opens_new_window,opens in a new window,
general:sdg,Sustainable Development Goals,
general:target,Target,
general:targets,Targets,
general:twitter,Twitter,
header:alpha,Alpha,
header:default_contrast,Default contrast,
header:disable_high_contrast,Disable high contrast,
header:disclaimer,"This is a development website. We welcome your <a href=""mailto:%email_address"">feedback</a>.",
header:enable_high_contrast,Enable high contrast,
header:high_contrast,High contrast,
header:skip_link,Skip to main content,
header:tag_line,17 Goals to Transform our World,
post:posts_by_category,Posts by Category,Messages par catégorie
post:view_all_in_category,View all posts in the %category_name category,Voir tous les articles dans la catégorie %category_name
metadata_fields:comments_limitations,Other information,Les autres informations
metadata_fields:computation_calculations,Calculations,Calculs
metadata_fields:computation_definitions,Definitions,Définitions
metadata_fields:computation_units,Unit of measurement,Unité de mesure
metadata_fields:goal_meta_link,Link to UN metadata,Lien vers les métadonnées UN
metadata_fields:indicator,Indicator number,Numéro de l&#39;indicateur
metadata_fields:indicator_definition,Global indicator description,Description de l&#39;indicateur global
metadata_fields:indicator_name,Indicator name,Nom de l&#39;indicateur
metadata_fields:indicator_sort_order,Indicator display order (within Goal page),Ordre d&#39;affichage des indicateurs (dans la page Objectif)
metadata_fields:national_data_update_url,Data last updated,Données mises à jour en dernier
metadata_fields:national_geographical_coverage,Geographical coverage,Couverture géographique
metadata_fields:national_indicator_available,Indicator available,Indicateur disponible
metadata_fields:national_indicator_description,Indicator description,Description de l&#39;indicateur
metadata_fields:national_metadata_update_url,Metadata last updated,Dernière mise à jour des métadonnées
metadata_fields:source_contact_1,Contact details,Détails du contact
metadata_fields:source_contact_2,Contact details,Détails du contact
metadata_fields:source_contact_3,Contact details,Détails du contact
metadata_fields:source_contact_4,Contact details,Détails du contact
metadata_fields:source_contact_5,Contact details,Détails du contact
metadata_fields:source_contact_6,Contact details,Détails du contact
metadata_fields:source_earliest_available_1,Earliest available data,Les premières données disponibles
metadata_fields:source_earliest_available_2,Earliest available data,Les premières données disponibles
metadata_fields:source_earliest_available_3,Earliest available data,Les premières données disponibles
metadata_fields:source_earliest_available_4,Earliest available data,Les premières données disponibles
metadata_fields:source_earliest_available_5,Earliest available data,Les premières données disponibles
metadata_fields:source_earliest_available_6,Earliest available data,Les premières données disponibles
metadata_fields:source_geographical_coverage_1,Geographical coverage,Couverture géographique
metadata_fields:source_geographical_coverage_2,Geographical coverage,Couverture géographique
metadata_fields:source_geographical_coverage_3,Geographical coverage,Couverture géographique
metadata_fields:source_geographical_coverage_4,Geographical coverage,Couverture géographique
metadata_fields:source_geographical_coverage_5,Geographical coverage,Couverture géographique
metadata_fields:source_geographical_coverage_6,Geographical coverage,Couverture géographique
metadata_fields:source_next_release_1,Next release,Prochaine sortie
metadata_fields:source_next_release_2,Next release,Prochaine sortie
metadata_fields:source_next_release_3,Next release,Prochaine sortie
metadata_fields:source_next_release_4,Next release,Prochaine sortie
metadata_fields:source_next_release_5,Next release,Prochaine sortie
metadata_fields:source_next_release_6,Next release,Prochaine sortie
